"ilpn"|"status"|"ASN"|"PO"|"SKU"|"qty"|"length"|"hieght"|"width"|"Active_location"|"Current_location"|"Found_location"
67701005873331|"Allocated and Pulled"|120045238|4038111|12741067|10|3.12|9.98|6.51|"AS0"|"PUTLANE"|"DRACK"
67701005917024|"Pulled"|120045259|4038140|354866|11|19.08|15.9|3.61|"AS0"|"BRACK"|"CRACK"
67701006172229|"In transit"|120045257|4038132|354847|36|11.1|18.2|1.07|"AS1"|"AS4"|"CUBIST"
67701006281385|"In work order"|120045234|4056792|10748210|42|17.73|19.39|6.4|"AS4"|"SHIPLANE"|"CUBIST"
67701006499123|"Allocated and Pulled"|120045231|4056769|11750505|16|14.96|9.19|9.58|"AS2"|"PICKCART"|"MULTIST"
67701006548483|"Allocated"|120045255|4038123|354813|6|13.59|29.96|4.13|"AS1"|"PUTLANE"|"CRACK"
67701006675648|"In transit"|120045234|4056793|10748216|34|8.69|22.48|3.01|"AS1"|"UNKNOWN"|"DRACK"
67701006708591|"In work order"|120045259|4038138|354862|51|10.56|1.7|3.77|"AS2"|"AS1"|"CUBIST"
67701007297294|"Not received but shipment verified"|120045393|4056795|10748224|87|13.57|1.64|3.02|"AS4"|"SHIPPED"|"INLOAD"
67701007386548|"Putaway"|120045398|4056766|10743937|58|9.14|8.12|6.29|"AS4"|"PUTLANE"|"CRACK"
67701007897968|"Allocated"|120045292|4056763|10748092|52|3.84|14.33|4.35|"AS0"|"DROP"|"CUBIST"
67701008150761|"Allocated"|120045235|4056797|10748229|85|16.73|8.4|9.21|"AS1"|"AS4"|"CRACK"
67701008378414|"Allocated and Pulled"|120045237|4038105|12741050|46|18.63|10.82|7.54|"AS2"|"AS0"|"DRACK"
67701008389735|"Allocated and Pulled"|120045292|4056763|10748092|24|11.95|27.63|5.28|"AS0"|"SHIPPED"|"ONPALLET"
67701008682100|"Not received but shipment verified"|120045271|4038146|354881|37|8.78|24.65|4.01|"AS1"|"DROP"|"BRACK"
67701008724853|"Pulled"|120045238|4038112|12741071|29|4.23|27.33|3.56|"AS4"|"SHIPLANE"|"DRACK"
67701008812693|"Pulled"|120045271|4038144|354877|33|1.2|8.28|4.31|"AS0"|"AS4"|"DRACK"
67701009014906|"In transit"|120045258|4038133|354848|45|6.86|28.88|5.77|"AS1"|"PUTWALL"|"DRACK"
67701009158649|"Not received but shipment verified"|120045232|4056764|10743934|0|17.32|12.06|4.71|"AS1"|"AS1"|"MULTIST"
67701009596929|"Pulled"|120045298|4038154|354899|3|17.09|12.11|4.66|"AS1"|"PUTWALL"|"BRACK"
67701009932655|"In transit"|120045271|4038146|354882|77|9.4|1.62|8.56|"AS4"|"PICKCART"|"INLOAD"
67701009948138|"In work order"|120045273|4038152|354894|19|11.76|14.62|7.87|"AS2"|"UNKNOWN"|"BRACK"
67701010117908|"Partially allocated"|120045258|4038133|354849|59|11.29|17.84|7.96|"AS0"|"PUTLANE"|"DRACK"
67701010294469|"In transit"|120045272|4038150|354891|63|13.66|19.0|9.54|"AS4"|"UNKNOWN"|"PUTLANE"
67701010930121|"Partially allocated"|120045240|4038119|12741095|39|2.58|22.86|4.89|"AS1"|"UNKNOWN"|"BRACK"
67701011031153|"Putaway"|120045239|4038115|12741083|18|2.48|1.88|9.73|"AS4"|"PUTLANE"|"DRACK"
67701011070170|"Not received but shipment verified"|120045257|4038129|354832|64|18.71|12.63|5.79|"AS4"|"CRACK"|"INLOAD"
67701011180906|"In work order"|120045240|4038117|12741089|75|6.7|23.51|9.94|"AS4"|"PUTWALL"|"CRACK"
67701011206081|"Canceled"|120045239|4038113|12741075|78|3.11|10.87|9.61|"AS2"|"AS0"|"ONPALLET"
67701011385527|"Canceled"|120045236|4038104|12741043|57|18.37|24.9|6.51|"AS0"|"CRACK"|"DRACK"
67701011438786|"Partially allocated"|120045258|4038134|354853|10|9.6|19.16|5.69|"AS0"|"PICKCART"|"PUTLANE"
67701011461253|"In work order"|120045240|4038120|12741099|77|12.4|16.02|4.97|"AS1"|"AS4"|"DRACK"
67701011536145|"Pulled"|120045390|4056798|10741031|75|3.77|12.12|8.44|"AS4"|"PUTLANE"|"INLOAD"
67701012146705|"In transit"|120045257|4038132|354843|72|15.85|11.32|6.78|"AS0"|"SHIPPED"|"BRACK"
67701012190748|"In transit"|120045240|4038119|12741096|46|17.34|15.9|3.48|"AS1"|"AS1"|"CRACK"
67701012348404|"In inventory not putaway"|120045237|4038107|12741055|62|8.76|24.55|8.98|"AS1"|"DRACK"|"CRACK"
67701012438937|"Allocated"|120045270|4038143|354876|38|18.98|1.57|9.81|"AS0"|"AS4"|"INLOAD"
67701012637084|"Allocated"|120045258|4038133|354850|48|11.28|12.04|1.41|"AS2"|"SHIPLANE"|"ONPALLET"
67701012718695|"Not received but shipment verified"|120045240|4038117|12741087|68|8.45|26.33|2.17|"AS0"|"BRACK"|"MULTIST"
67701012833894|"Partially allocated"|120045394|4056794|10748219|91|10.15|10.92|6.84|"AS1"|"SHIPLANE"|"ONPALLET"
67701012945700|"Case consumed to active"|120045236|4038104|12741042|90|6.26|7.9|8.87|"AS4"|"PUTWALL"|"MULTIST"
67701013140681|"Case consumed to active"|120045272|4038149|354888|17|5.76|18.66|9.14|"AS0"|"BRACK"|"CUBIST"
67701013172571|"Canceled"|120045257|4038129|354833|53|3.6|21.9|8.06|"AS0"|"PUTLANE"|"CUBIST"
67701013187007|"Putaway"|120045236|4038103|12741041|45|6.89|16.82|5.07|"AS2"|"AS0"|"CRACK"
67701013200935|"Putaway"|120045292|4056763|10748091|48|12.17|6.27|5.48|"AS2"|"AS2"|"DRACK"
67701013348557|"Putaway"|120045258|4038133|354850|75|4.42|21.02|1.2|"AS1"|"AS2"|"PUTLANE"
67701013820698|"Putaway"|120045240|4038117|12741088|86|4.99|15.63|4.09|"AS0"|"PUTLANE"|"CUBIST"
67701013821188|"Partially allocated"|120045232|4038154|354898|56|16.36|24.18|3.89|"AS2"|"DROP"|"INLOAD"
67701013927958|"Case consumed to active"|120045239|4038116|12741085|75|2.75|11.14|3.11|"AS4"|"PUTLANE"|"ONPALLET"
67701013945022|"Allocated"|120045231|4056768|11750504|36|18.95|19.92|5.3|"AS0"|"BRACK"|"BRACK"
67701014092507|"Partially allocated"|120045236|4038102|10741038|99|15.75|20.14|2.71|"AS0"|"AS4"|"PUTLANE"
67701014108009|"Putaway"|120045257|4038132|354845|81|6.45|19.28|1.37|"AS1"|"DROP"|"CUBIST"
67701014146768|"Allocated and Pulled"|120045274|4038154|354100|77|4.17|27.58|4.2|"AS0"|"BRACK"|"MULTIST"
67701014197891|"Allocated and Pulled"|120045234|4056793|10748215|89|19.49|22.02|4.0|"AS0"|"PICKCART"|"ONPALLET"
67701014693676|"Allocated and Pulled"|120045257|4038130|354837|70|6.34|26.87|4.16|"AS1"|"CRACK"|"CUBIST"
67701014707016|"Allocated"|120045234|4056792|10748210|90|11.48|22.08|3.2|"AS4"|"AS2"|"BRACK"
67701014839915|"Partially allocated"|120045299|4056791|10748208|15|2.23|8.09|7.51|"AS4"|"AS2"|"MULTIST"
67701015005492|"In transit"|120045398|4056766|10743936|89|18.26|18.17|3.62|"AS0"|"AS0"|"INLOAD"
67701015012903|"Partially allocated"|120045238|4038111|12741068|18|18.66|19.15|2.78|"AS4"|"PUTLANE"|"CRACK"
67701015158927|"In transit"|120045237|4038105|12741047|86|8.55|4.06|8.83|"AS2"|"PICKCART"|"CRACK"
67701015200084|"Pulled"|120045233|4056761|10748097|13|11.54|27.36|1.1|"AS1"|"CRACK"|"MULTIST"
67701015204127|"In transit"|120045271|4038145|354879|94|11.61|23.65|6.62|"AS4"|"PUTLANE"|"PUTLANE"
67701015251634|"Consumed"|120045259|4038140|354865|76|14.3|17.32|3.91|"AS1"|"CRACK"|"CRACK"
67701015363103|"Canceled"|120045238|4038109|12741060|62|19.76|7.15|1.84|"AS0"|"DROP"|"PUTLANE"
67701015587993|"Case consumed to active"|120045292|4056763|10748091|73|12.83|4.98|4.95|"AS1"|"DRACK"|"DRACK"
67701015858327|"Pulled"|120045256|4038128|354858|66|7.47|28.64|8.2|"AS2"|"BRACK"|"ONPALLET"
67701015946930|"Canceled"|120045257|4038132|354844|76|2.34|11.95|7.99|"AS2"|"AS2"|"CRACK"
67701016073978|"In work order"|120045394|4056794|10748217|96|17.91|23.36|6.45|"AS2"|"DRACK"|"INLOAD"
67701016193557|"Consumed"|120045259|4038138|354861|47|2.01|9.31|3.94|"AS4"|"AS0"|"BRACK"
67701016204646|"In work order"|120045238|4038111|12741069|72|1.84|3.98|6.9|"AS0"|"SHIPLANE"|"CRACK"
67701016292362|"In inventory not putaway"|120045390|4056798|10741031|69|2.0|6.2|4.8|"AS1"|"CRACK"|"DRACK"
67701016375238|"Canceled"|120045236|4038104|12741042|13|14.03|16.3|4.5|"AS4"|"AS0"|"INLOAD"
67701016505163|"In transit"|120045259|4038139|354864|85|18.16|2.62|2.47|"AS0"|"PICKCART"|"CUBIST"
67701016690240|"Canceled"|120045257|4038130|354837|91|12.22|1.7|7.91|"AS1"|"AS4"|"DRACK"
67701016867222|"In transit"|120045239|4038113|12741075|72|11.8|24.54|7.55|"AS2"|"PICKCART"|"ONPALLET"
67701017761901|"In inventory not putaway"|120045391|4056799|10741033|89|3.23|27.28|6.19|"AS4"|"AS4"|"CRACK"
67701017822287|"Allocated and Pulled"|120045273|4038152|354894|14|15.17|17.13|7.13|"AS2"|"BRACK"|"PUTLANE"
67701018346905|"Allocated"|120045259|4038137|354859|23|13.97|13.2|9.74|"AS4"|"AS1"|"ONPALLET"
67701018637729|"Not received but shipment verified"|120045391|4056799|10741033|87|19.0|12.74|2.66|"AS4"|"SHIPLANE"|"CUBIST"
67701018748179|"Pulled"|120045293|4056762|10748095|70|4.06|20.29|3.22|"AS4"|"AS0"|"CRACK"
67701018756851|"Case consumed to active"|120045256|4038125|354816|62|14.97|26.83|9.11|"AS2"|"DRACK"|"CRACK"
67701018858803|"Case consumed to active"|120045233|4056761|10748099|63|6.65|9.74|6.05|"AS2"|"AS1"|"CUBIST"
67701018859215|"In inventory not putaway"|120045398|4056766|10743936|75|6.54|18.8|9.73|"AS2"|"SHIPPED"|"CUBIST"
67701018891973|"Consumed"|120045235|4056797|10748229|87|15.59|26.36|3.27|"AS4"|"SHIPPED"|"CRACK"
67701018917596|"Allocated"|120045239|4038116|12741085|10|10.56|27.77|9.16|"AS2"|"DRACK"|"INLOAD"
67701018923959|"Case consumed to active"|120045231|4056768|11750504|27|4.12|23.88|2.8|"AS2"|"PUTWALL"|"ONPALLET"
67701019267757|"Allocated and Pulled"|120045234|4056792|10748210|94|5.69|24.16|1.74|"AS2"|"PUTWALL"|"DRACK"
67701019296109|"In transit"|120045399|4056769|11750501|39|5.01|24.74|5.42|"AS2"|"PUTWALL"|"INLOAD"
67701019308604|"Pulled"|120045272|4038149|354887|10|12.12|7.56|4.84|"AS4"|"PICKCART"|"INLOAD"
67701019414711|"Canceled"|120045231|4056769|11750505|87|11.16|15.06|5.52|"AS4"|"AS0"|"PUTLANE"
67701019452588|"In transit"|120045297|4038154|354898|73|17.29|3.83|3.66|"AS2"|"AS1"|"BRACK"
67701019469948|"Consumed"|120045256|4038126|354820|34|8.5|21.07|6.82|"AS4"|"AS2"|"BRACK"
67701019490275|"Canceled"|120045258|4038133|354848|76|19.7|5.5|3.58|"AS2"|"DRACK"|"PUTLANE"
67701019557841|"Putaway"|120045270|4038143|354876|68|4.99|28.08|2.59|"AS2"|"DRACK"|"ONPALLET"
67701019866633|"Allocated and Pulled"|120045273|4038153|354897|8|8.96|25.92|7.59|"AS1"|"DRACK"|"MULTIST"
67701019903015|"In transit"|120045231|4056769|11750521|98|15.5|26.11|4.03|"AS4"|"SHIPPED"|"INLOAD"
67701019950055|"In work order"|120045257|4038130|354838|67|10.35|7.69|4.74|"AS2"|"BRACK"|"CUBIST"
67701019958113|"Case consumed to active"|120045231|4056769|11750531|50|15.91|17.39|7.4|"AS2"|"PICKCART"|"PUTLANE"
67701020419246|"In transit"|120045398|4056766|10743937|99|12.64|11.76|1.21|"AS0"|"AS4"|"CUBIST"
67701020561676|"Case consumed to active"|120045258|4038133|354848|74|17.19|22.25|5.41|"AS2"|"PICKCART"|"BRACK"
67701021122531|"In transit"|120045257|4038131|354840|75|2.66|11.43|6.4|"AS2"|"SHIPLANE"|"DRACK"
67701021144526|"Pulled"|120045257|4038130|354838|72|4.0|17.86|1.46|"AS4"|"AS0"|"PUTLANE"
67701021242897|"In transit"|120045238|4038110|12741065|19|17.86|27.91|8.87|"AS0"|"BRACK"|"CUBIST"
67701021314131|"Consumed"|120045257|4038129|354832|50|1.9|27.28|4.37|"AS0"|"AS2"|"BRACK"
67701021422177|"In work order"|120045272|4038148|354886|47|11.49|2.73|3.23|"AS1"|"PUTLANE"|"BRACK"
67701021528974|"In inventory not putaway"|120045238|4038109|12741059|39|11.05|18.96|9.43|"AS1"|"AS1"|"CRACK"
67701021555810|"Consumed"|120045256|4038127|354825|11|2.64|9.98|3.96|"AS2"|"SHIPPED"|"INLOAD"
67701021787039|"Pulled"|120045257|4038131|354842|55|17.13|11.17|3.82|"AS0"|"AS2"|"DRACK"
67701021891245|"In inventory not putaway"|120045259|4038140|354866|75|3.36|12.26|5.59|"AS1"|"AS0"|"MULTIST"
67701022063325|"Allocated"|120045256|4038128|354857|99|6.49|6.24|5.41|"AS4"|"AS0"|"PUTLANE"
67701022116803|"Partially allocated"|120045398|4056766|10743935|39|8.45|20.78|1.85|"AS1"|"SHIPPED"|"DRACK"
67701022343877|"Consumed"|120045272|4038149|354887|39|15.52|14.11|6.55|"AS2"|"AS4"|"ONPALLET"
67701022392650|"In inventory not putaway"|120045240|4038118|12741091|23|15.44|10.5|5.91|"AS1"|"AS2"|"ONPALLET"
67701022486680|"Partially allocated"|120045299|4056791|10748209|30|2.33|29.35|1.23|"AS0"|"PUTLANE"|"CRACK"
67701022706796|"Putaway"|120045238|4038112|12741072|62|14.21|5.32|7.5|"AS4"|"PICKCART"|"CUBIST"
67701022787437|"Canceled"|120045258|4038135|354854|30|3.4|10.22|6.28|"AS1"|"AS2"|"INLOAD"
67701023085368|"Partially allocated"|120045393|4056795|10748221|97|14.87|7.0|3.26|"AS0"|"AS4"|"BRACK"
67701023296105|"Pulled"|120045239|4038115|12741081|16|5.77|9.83|5.27|"AS2"|"PUTWALL"|"CRACK"
67701023829293|"Partially allocated"|120045271|4038146|354881|82|5.09|1.96|3.75|"AS0"|"BRACK"|"DRACK"
67701024081581|"Pulled"|120045256|4038128|354829|22|4.54|18.51|3.5|"AS4"|"SHIPPED"|"ONPALLET"
67701024257396|"Case consumed to active"|120045255|4038122|354810|53|6.11|20.7|3.69|"AS4"|"SHIPPED"|"ONPALLET"
67701024268142|"Canceled"|120045238|4038110|12741063|6|14.76|4.6|8.14|"AS1"|"CRACK"|"BRACK"
67701024422663|"In transit"|120045259|4038139|354863|29|5.52|1.47|5.09|"AS0"|"CRACK"|"BRACK"
67701024611068|"Putaway"|120045239|4038113|12741075|93|18.0|26.5|5.14|"AS1"|"AS2"|"CUBIST"
67701024710590|"Allocated"|120045240|4038120|12741099|33|13.17|14.55|1.69|"AS4"|"AS2"|"INLOAD"
67701024874909|"Not received but shipment verified"|120045240|4038117|12741088|10|13.02|12.61|2.39|"AS2"|"AS0"|"CUBIST"
67701025014268|"Allocated"|120045272|4038151|354893|72|5.86|13.3|2.75|"AS4"|"AS1"|"CUBIST"
67701025217426|"Allocated"|120045257|4038130|354837|8|12.76|21.24|4.39|"AS2"|"PUTLANE"|"ONPALLET"
67701025339269|"Consumed"|120045239|4038113|12741074|93|15.0|19.44|9.95|"AS4"|"PUTLANE"|"CUBIST"
67701025701524|"Putaway"|120045256|4038126|354820|44|13.01|6.31|3.23|"AS1"|"AS1"|"CUBIST"
67701025749586|"Not received but shipment verified"|120045236|4038104|12741043|97|10.83|18.65|8.79|"AS0"|"PUTLANE"|"BRACK"
67701025843833|"Consumed"|120045231|4056768|11750503|68|17.4|26.98|7.64|"AS1"|"CRACK"|"DRACK"
67701025982905|"In work order"|120045238|4038109|12741062|93|2.44|18.22|4.64|"AS0"|"PUTWALL"|"INLOAD"
67701026196838|"Allocated and Pulled"|120045270|4038142|354873|71|4.41|1.71|9.82|"AS4"|"PUTWALL"|"BRACK"
67701026236234|"Not received but shipment verified"|120045256|4038128|354857|3|7.29|13.38|5.44|"AS0"|"BRACK"|"CRACK"
67701026463606|"In work order"|120045259|4038138|354862|78|16.9|1.34|7.83|"AS4"|"PUTLANE"|"MULTIST"
67701026496202|"In work order"|120045394|4056794|10748217|25|4.64|22.7|8.05|"AS2"|"PUTWALL"|"INLOAD"
67701026504651|"Consumed"|120045258|4038134|354852|48|4.18|2.16|5.71|"AS0"|"BRACK"|"BRACK"
67701026673076|"Consumed"|120045259|4038140|354867|55|13.24|19.8|4.18|"AS0"|"AS1"|"CUBIST"
67701027266021|"Partially allocated"|120045399|4056769|11750501|72|3.4|28.6|7.94|"AS4"|"UNKNOWN"|"PUTLANE"
67701027382226|"Pulled"|120045257|4038129|354833|73|1.3|17.83|2.17|"AS0"|"AS1"|"ONPALLET"
67701027499922|"Putaway"|120045270|4038142|354873|92|19.16|7.09|1.45|"AS1"|"DROP"|"DRACK"
67701027642160|"Partially allocated"|120045257|4038131|354840|27|7.35|20.17|9.89|"AS4"|"DRACK"|"CRACK"
67701027656366|"Consumed"|120045257|4038131|354842|72|1.54|25.13|7.6|"AS4"|"SHIPLANE"|"CUBIST"
67701027984964|"Not received but shipment verified"|120045272|4038148|354886|92|8.56|5.94|7.77|"AS2"|"AS2"|"INLOAD"
67701028132243|"Not received but shipment verified"|120045240|4038118|12741093|58|17.17|4.65|8.27|"AS0"|"PICKCART"|"MULTIST"
67701028222830|"Partially allocated"|120045272|4038148|354885|94|16.53|15.49|5.96|"AS2"|"BRACK"|"CUBIST"
67701028261025|"In work order"|120045236|4038102|10741038|39|11.14|22.22|6.0|"AS0"|"DROP"|"MULTIST"
67701028361147|"Allocated and Pulled"|120045236|4038104|12741043|44|12.14|27.75|7.08|"AS4"|"AS2"|"CRACK"
67701028571380|"Consumed"|120045231|4056769|11750521|84|6.88|7.35|9.89|"AS4"|"AS4"|"PUTLANE"
67701028638734|"Partially allocated"|120045256|4038125|354817|14|11.83|13.8|9.79|"AS2"|"PICKCART"|"CUBIST"
67701028898285|"Canceled"|120045238|4038109|12741059|79|10.47|13.61|2.66|"AS0"|"DRACK"|"ONPALLET"
67701029054774|"Pulled"|120045231|4056768|11750507|49|15.62|8.47|9.48|"AS2"|"UNKNOWN"|"MULTIST"
67701029183463|"Not received but shipment verified"|120045258|4038135|354855|3|8.09|20.99|5.54|"AS4"|"PUTLANE"|"INLOAD"
67701029384599|"Pulled"|120045398|4056766|10743935|81|18.46|12.63|7.67|"AS1"|"CRACK"|"INLOAD"
67701029797796|"Case consumed to active"|120045272|4038148|354885|65|15.36|1.23|7.52|"AS0"|"AS2"|"CRACK"
67701030050992|"Allocated and Pulled"|120045232|4056764|10743934|10|1.48|16.07|6.48|"AS1"|"AS4"|"CUBIST"
67701030195567|"Allocated"|120045233|4056761|10748099|17|13.31|23.1|2.8|"AS1"|"PUTLANE"|"INLOAD"
67701030328692|"Case consumed to active"|120045272|4038149|354889|56|14.46|9.17|6.47|"AS2"|"AS1"|"CRACK"
67701030715347|"Allocated"|120045239|4038115|12741082|46|19.91|9.86|9.94|"AS2"|"PUTLANE"|"ONPALLET"
67701030842758|"Allocated and Pulled"|120045256|4038128|354829|1|18.66|5.94|2.75|"AS2"|"PUTWALL"|"DRACK"
67701030844584|"Not received but shipment verified"|120045232|4056765|10743939|36|18.9|19.56|3.67|"AS2"|"PUTLANE"|"DRACK"
67701030874297|"Pulled"|120045257|4038129|354830|21|17.8|22.31|5.3|"AS4"|"PUTWALL"|"MULTIST"
67701030939842|"Pulled"|120045231|4056768|11750503|46|3.43|17.25|4.38|"AS2"|"PUTWALL"|"CUBIST"
67701031576474|"Consumed"|120045240|4038119|12741095|67|1.63|14.91|1.41|"AS2"|"DROP"|"MULTIST"
67701031609471|"In work order"|120045231|4056768|11750507|68|11.05|24.8|9.56|"AS4"|"PICKCART"|"CUBIST"
67701031799780|"Putaway"|120045257|4038132|354843|20|13.82|18.61|1.24|"AS1"|"AS2"|"DRACK"
67701031970530|"Putaway"|120045240|4038154|354899|74|4.44|8.78|4.91|"AS2"|"SHIPLANE"|"DRACK"
67701032222430|"In work order"|120045236|4038103|10741039|57|13.61|10.97|6.04|"AS2"|"PUTWALL"|"CRACK"
67701032291299|"In inventory not putaway"|120045258|4038134|354853|91|8.73|27.53|5.84|"AS2"|"PICKCART"|"BRACK"
67701032341544|"In inventory not putaway"|120045232|4056764|10743934|26|18.8|13.97|2.62|"AS0"|"DROP"|"INLOAD"
67701032442917|"Consumed"|120045272|4038150|354890|32|2.15|25.4|7.41|"AS0"|"UNKNOWN"|"DRACK"
67701032545620|"In transit"|120045238|4038112|12741071|50|19.21|1.88|6.32|"AS4"|"PICKCART"|"CRACK"
67701033259421|"Case consumed to active"|120045398|4056766|10743937|85|19.41|20.71|9.51|"AS1"|"PUTWALL"|"PUTLANE"
67701033311183|"Allocated and Pulled"|120045298|4056790|10748206|35|17.48|14.21|1.78|"AS1"|"PUTLANE"|"DRACK"
67701033333778|"Allocated"|120045233|4056761|10748097|22|15.46|2.24|4.56|"AS2"|"DROP"|"CRACK"
67701033701446|"Allocated and Pulled"|120045255|4038123|354812|16|6.73|2.61|8.65|"AS1"|"PUTLANE"|"CUBIST"
67701033974064|"In transit"|120045270|4038141|354869|87|2.23|24.39|6.25|"AS4"|"AS1"|"MULTIST"
67701034245054|"Case consumed to active"|120045257|4038129|354832|70|3.18|1.13|2.67|"AS0"|"PICKCART"|"CUBIST"
67701034272249|"Canceled"|120045391|4056799|10741032|76|11.48|17.11|9.62|"AS2"|"AS1"|"MULTIST"
67701034301064|"Allocated and Pulled"|120045256|4038128|354826|93|6.51|1.33|9.91|"AS1"|"PUTWALL"|"CUBIST"
67701034491906|"Canceled"|120045232|4056765|10743940|31|18.13|25.86|1.58|"AS4"|"AS4"|"ONPALLET"
67701034674167|"Partially allocated"|120045232|4056764|10743934|39|5.71|13.68|2.64|"AS2"|"DROP"|"DRACK"
67701034681576|"Case consumed to active"|120045232|4056764|10742301|2|18.4|4.53|7.29|"AS0"|"CRACK"|"CRACK"
67701034905180|"Putaway"|120045256|4038126|354821|16|2.12|12.06|9.49|"AS2"|"SHIPPED"|"ONPALLET"
67701035221189|"Canceled"|120045239|4038116|12741085|95|11.49|6.62|1.92|"AS0"|"AS0"|"PUTLANE"
67701035359322|"In transit"|120045235|4056796|10748227|56|6.61|29.06|6.2|"AS2"|"AS4"|"INLOAD"
67701035408413|"Pulled"|120045232|4056765|10743939|86|6.99|17.19|5.33|"AS4"|"AS4"|"CUBIST"
67701035507065|"Pulled"|120045239|4038113|12741074|53|1.69|11.76|3.07|"AS0"|"AS1"|"ONPALLET"
67701035630188|"Putaway"|120045257|4038132|354843|11|1.83|10.38|6.23|"AS4"|"AS4"|"CRACK"
67701035680622|"Allocated and Pulled"|120045257|4038131|354841|12|1.71|18.23|6.49|"AS4"|"PUTWALL"|"CRACK"
67701035766817|"In work order"|120045256|4038127|354824|8|18.82|16.7|8.54|"AS0"|"BRACK"|"ONPALLET"
67701035769360|"Consumed"|120045259|4038140|354866|92|16.08|12.69|3.31|"AS2"|"UNKNOWN"|"INLOAD"
67701035803644|"In transit"|120045270|4038143|354875|65|11.51|7.17|9.36|"AS0"|"SHIPLANE"|"PUTLANE"
67701036800894|"In transit"|120045240|4038119|12741096|65|5.99|27.66|3.26|"AS4"|"PUTWALL"|"PUTLANE"
67701037055349|"In transit"|120045237|4038107|12741054|62|12.04|25.95|9.33|"AS1"|"UNKNOWN"|"DRACK"
67701037199159|"Case consumed to active"|120045256|4038128|354858|69|17.34|2.49|5.52|"AS2"|"DROP"|"PUTLANE"
67701037267723|"Partially allocated"|120045391|4056799|10741033|83|2.97|11.04|1.89|"AS1"|"DROP"|"CRACK"
67701037272348|"In transit"|120045239|4038114|12741080|13|9.44|8.96|6.12|"AS2"|"PUTWALL"|"BRACK"
